;date;tx_var_emploi;idx_prix_conso;idx_conf_conso
0;31-05-2008;1.1;93.994;-36.4
1;30-06-2008;1.4;94.465;-41.8
2;31-07-2008;1.4;93.91799999999999;-42.7
3;31-08-2008;1.4;93.444;-36.1
4;30-09-2008;???;???;???
5;31-10-2008;-0.1;93.79799999999999;-40.4
6;30-11-2008;-0.1;93.2;-42.0
7;31-12-2008;-0.2;92.756;-45.9
8;31-01-2009;???;???;???
9;28-02-2009;???;???;???
10;31-03-2009;-1.8;92.84299999999999;-50.0
11;30-04-2009;-1.8;93.075;-47.1
12;31-05-2009;-1.8;92.89299999999999;-46.2
13;30-06-2009;-2.9;92.963;-40.8
14;31-07-2009;-2.9;92.469;-33.6
15;31-08-2009;-2.9;92.20100000000001;-31.4
16;30-09-2009;-3.4;92.37899999999999;-29.8
17;31-10-2009;-3.4;92.431;-26.9
18;30-11-2009;-3.4;92.649;-30.1
19;31-12-2009;-3.0;92.713;-33.0
20;31-01-2010;???;???;???
21;28-02-2010;???;???;???
22;31-03-2010;-1.8;93.369;-34.8
23;30-04-2010;-1.8;93.749;-34.6
24;31-05-2010;-1.8;93.876;-40.0
25;30-06-2010;-1.7;94.055;-39.8
26;31-07-2010;-1.7;94.215;-40.3
27;31-08-2010;-1.7;94.027;-38.3
28;30-09-2010;-1.1;94.199;-37.5
29;31-10-2010;-1.1;94.601;-49.5
